"it","im","dep","meth","out","event_type"
1,1,"imagination","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"surps1_r","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"surps4_r","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"surps5","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"surps10","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"surps11","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"surps14","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"surps15","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"surps17","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"surps18","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"surps20_r","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"surps21","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"surps22","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"surps23_r","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"ciss3","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"ciss5","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"ciss10","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"ciss12","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"ciss14","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"ciss17","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"ciss20","pmm","stop_wdl_exp_combined.C","dropped_predictor"
2,1,"side_effects_4","pmm","stop_wdl_exp_combined.C","dropped_predictor"
2,1,"safety_3","pmm","stop_wdl_exp_combined.C","dropped_predictor"
2,1,"safety_4","pmm","stop_wdl_exp_combined.C","dropped_predictor"
2,1,"dependence_1","pmm","stop_wdl_exp_combined.C","dropped_predictor"
2,1,"dependence_2","pmm","stop_wdl_exp_combined.C","dropped_predictor"
2,1,"dependence_3","pmm","stop_wdl_exp_combined.C","dropped_predictor"
2,1,"motivation_1","pmm","stop_wdl_exp_combined.C","dropped_predictor"
2,1,"motivation_2","pmm","stop_wdl_exp_combined.C","dropped_predictor"
2,1,"motivation_3","pmm","stop_wdl_exp_combined.C","dropped_predictor"
2,1,"desires_2","pmm","stop_wdl_exp_combined.C","dropped_predictor"
2,1,"capability_1","pmm","stop_wdl_exp_combined.C","dropped_predictor"
2,1,"capability","pmm","stop_wdl_exp_combined.C","dropped_predictor"
2,1,"benefit_4","pmm","stop_wdl_exp_combined.C","dropped_predictor"
2,1,"benefit_5","pmm","stop_wdl_exp_combined.C","dropped_predictor"
2,1,"benefit_dep","pmm","stop_wdl_exp_combined.C","dropped_predictor"
2,1,"memory","pmm","stop_wdl_exp_combined.C","dropped_predictor"
2,1,"thinking","pmm","stop_wdl_exp_combined.C","dropped_predictor"
2,1,"activities","pmm","stop_wdl_exp_combined.C","dropped_predictor"
2,1,"socialize","pmm","stop_wdl_exp_combined.C","dropped_predictor"
